Model Name,Checkpoint,Image,AIR ID
Pony Realism,Pony,https://mim.runware.ai/r/67c36272cfcc0-1664x2432.jpg,civitai:372465@914390
AutismMix SDXL,Pony,https://mim.runware.ai/r/66c33a595f4f9-450x700.jpg,civitai:288584@324619
CyberRealistic Pony,Pony,https://mim.runware.ai/r/67c6d651311fb-1778x2600.jpg,civitai:443821@1478064
Prefect Pony XL,Pony,https://mim.runware.ai/r/67c363171d369-1248x1824.jpg,civitai:439889@828380
CyberRealistic Pony,Pony,https://mim.runware.ai/r/67c366d3ed14f-1642x2400.jpg,civitai:443821@1346181
Mistoon_Anime,Pony,https://mim.runware.ai/r/67c3638b319a0-1600x2400.jpg,civitai:24149@692489
T-ponynai3,Pony,https://mim.runware.ai/r/66a6339c0db2c-450x596.jpg,civitai:317902@593760
DucHaiten-Pony-XL,Pony,https://mim.runware.ai/r/67c3685790327-1600x2350.jpg,civitai:376450@531417
Everclear PNY by Zovya,Pony,https://mim.runware.ai/r/67c3738f237f4-1200x1800.jpg,civitai:341433@511677
Real Dream,Pony,https://mim.runware.ai/r/67c36978a733f-1200x1200.jpg,civitai:153568@750893
DucHaiten-Pony-Real,Pony,https://mim.runware.ai/r/67c37217ab718-1440x2560.jpg,civitai:477851@834838
WAI-REALMIX,Pony,https://mim.runware.ai/r/67c388f4479b3-1024x1360.jpg,civitai:393905@868204
boleromix(Pony),Pony,https://mim.runware.ai/r/67c381e63e911-512x1024.jpg,civitai:448716@513252
Luminaverse ,Pony,https://mim.runware.ai/r/67c38866cf21f-2200x3215.jpg,civitai:348302@389670
PVC Style Model,Pony,https://mim.runware.ai/r/67c37627971de-1536x2560.jpg,civitai:400329@719243
iNiverse Mix,Pony,https://mim.runware.ai/r/67c36b16bfeca-1032x1840.jpg,civitai:226533@807591
AniVerse - Pony XL,Pony,https://mim.runware.ai/r/67c3871fdbe3a-768x1344.jpg,civitai:594253@918032
Anime Model Otaku,Pony,https://mim.runware.ai/r/67c37402ce1c8-1600x2385.jpg,civitai:54867@583459
VividPDXL,Pony,https://mim.runware.ai/r/67c3c1fe70f5e-2200x2200.jpg,civitai:381088@462031
